IMEI : 
IMSI : 
Phone Number : 14254691042
Start Time : 2026-01-27 02:29:45
End Time : 2026-01-27 02:33:54
IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[General] Band Classification,[General] Band Classification (formal),[General] Serving Network (In Traffic),[NR5G] [RF] PCI,[NR5G] [RF] RSRP,[NR5G] [RF] SINR,[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [Throughput] Application DL TP,[Call Test] [Throughput] Application UL TP,[NR5G] [Throughput] PUSCH TP,[NR5G] [(NR + LTE)] [Throughput] PDSCH TP,[NR5G] [(NR + LTE)] [Throughput] PUSCH TP,[Call Test] [Common] [Call average] [NR 5G] [BLER] PUSCH BLER
1,1,,,-122.1754533,47.5705117,2026-01-27 02:29:45.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
2,1,,,-122.1754533,47.5705117,2026-01-27 02:29:46.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
3,1,,,-122.1754533,47.5705117,2026-01-27 02:29:47.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
4,1,,,-122.1754533,47.5705117,2026-01-27 02:29:48.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
5,1,,,-122.1754533,47.5705117,2026-01-27 02:29:49.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
6,1,,,-122.1754533,47.5705117,2026-01-27 02:29:50.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
7,1,,,-122.1754533,47.5705117,2026-01-27 02:29:51.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
8,1,,,-122.1754533,47.5705117,2026-01-27 02:29:52.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
9,1,,,-122.1754533,47.5705117,2026-01-27 02:29:53.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
10,1,,,-122.1754533,47.5705117,2026-01-27 02:29:54.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
11,1,,,-122.1754533,47.5705117,2026-01-27 02:29:55.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
12,1,,,-122.1754533,47.5705117,2026-01-27 02:29:56.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
13,1,,,-122.1754533,47.5705117,2026-01-27 02:29:57.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
14,1,,,-122.1754533,47.5705117,2026-01-27 02:29:58.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
15,1,,,-122.1754533,47.5705117,2026-01-27 02:29:59.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
16,1,,,-122.1754533,47.5705117,2026-01-27 02:30:00.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
17,1,,,-122.1754533,47.5705117,2026-01-27 02:30:01.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
18,1,,,-122.1754933,47.5704900,2026-01-27 02:30:02.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
19,1,,,-122.1754950,47.5704983,2026-01-27 02:30:03.000,_20260126_182937_CH02_TMO_5GMHS_PING_L2_SEA.dml,,,,,,,,,,,,,
