IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
1,1,,,-121.9331493,47.5260597,2026-01-26 20:10:36.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
2,1,,,-121.9331493,47.5260597,2026-01-26 20:10:37.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,
3,1,,,-121.9331493,47.5260597,2026-01-26 20:10:38.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
4,1,,,-121.9331493,47.5260597,2026-01-26 20:10:39.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
5,1,,,-121.9331493,47.5260597,2026-01-26 20:10:40.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,
6,1,,,-121.9331493,47.5260597,2026-01-26 20:10:41.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
7,1,,,-121.9331493,47.5260597,2026-01-26 20:10:42.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
8,1,,,-121.9331493,47.5260597,2026-01-26 20:10:43.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
9,1,,,-121.9331493,47.5260597,2026-01-26 20:10:44.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
10,1,,,-121.9331493,47.5260597,2026-01-26 20:10:45.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
11,1,,,-121.9331493,47.5260597,2026-01-26 20:10:45.695,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Orig),,,,,,,,,,,,,,,,,
12,1,,,-121.9331493,47.5260597,2026-01-26 20:10:45.695,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[UE]   Voice - Orig Success,,,,,,,,,,,,,,,,,
13,1,,,-121.9331493,47.5260597,2026-01-26 20:10:45.710,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Orig Request,,,,,,,,,,,,,,,,,
14,1,,,-121.9331493,47.5260597,2026-01-26 20:10:46.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Disconnected,,,,,,,NR (NR_SA)
15,1,,,-121.9331493,47.5260597,2026-01-26 20:10:47.000,_20260126_121032_CH01_TMO_5GNR_WFC_DUT_TC-164-R2.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,,Disconnected,,,,,,,
