IDX,LID,CI_1,CI_2,Lon,Lat,Time,Measure,[Call Test] Call Start Network,[Call Test] Call Type,[Call Test] Call Result,[Call Test] Call Middle Network,[Call Test] Call End Network,[Call Test] Mobile ChipSet,[Call Test] [VoNR VoLTE] [Duration] SIP Setup Duration (Invite~200OK),[Call Test] [Misc] [Mobile] IMEI,[Call Test] [Throughput] Application DL TP,[General] Serving Network (In Traffic),[Call Test] [HTTP Transfer] HTTP Transfer Call Event,[Call Test] [KR PS-LTE] [SMS] [Timestamp] SIP Message,[Packet Data] [SIP] UL/DL,[Packet Data] [SIP] Request Method,[Packet Data] [SIP] Status,[Packet Data] [SIP] 200 OK - Method,[Call Test] [Voice or Video Call] Call Result,[Call Test] [Voice or Video Call] Orig/Term,[Call Test] [Voice or Video Call] Result & Reason,[LTE] [L1] [RF] PCI,[LTE] [L1] [RF] RSRP,[Event] Total Call Result,[Event] Voice Call Event,[Event] [Event Occurrence Count] Call Completed #,[Event] [Event Occurrence Count] Outgoing Call Setup Fail #,[Event] [Event Occurrence Count] Call Dropped #,[Event] [Event Occurrence Count] Call Start #,[Call Test] [Voice or Video Call] [Duration] Traffic Duration (LoggingTool),[NR5G] [RF] PCI,[Call Test] [Voice Quality] [Per Rx Clip] [RF Quality] 5G RSRP,[Call Test] [Voice Quality] [Sampled Values] MOS (POLQA),[WiFi] On Off,[WiFi] Connect State,[WiFi] [Serving AP] RSSI,[WiFi] [Serving AP] Frequency,[WiFi] [Serving AP] Link Speed,[Call Test] [VoNR VoLTE] [Handover] Rx RTP Delay (Control Plane),[Call Test] [Voice or Video Call] Call Type,[Event] [Event Occurrence Count] Handover OK #,[Mobile Info] [Android] [Radio] Network Type (Data Svc)
1,1,,,-121.9314830,47.5244923,2026-01-23 18:56:15.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
2,1,,,-121.9314830,47.5244923,2026-01-23 18:56:16.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
3,1,,,-121.9314830,47.5244923,2026-01-23 18:56:17.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-65.000000,5220,216,,,,IWLAN
4,1,,,-121.9314830,47.5244923,2026-01-23 18:56:18.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
5,1,,,-121.9314830,47.5244923,2026-01-23 18:56:19.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
6,1,,,-121.9314830,47.5244923,2026-01-23 18:56:20.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
7,1,,,-121.9314830,47.5244923,2026-01-23 18:56:21.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
8,1,,,-121.9314830,47.5244923,2026-01-23 18:56:22.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,Connected,-65.000000,5220,216,,,,IWLAN
9,1,,,-121.9314830,47.5244923,2026-01-23 18:56:23.000,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,,On,Connected,-65.000000,5220,216,,,,IWLAN
10,1,,,-121.9314830,47.5244923,2026-01-23 18:56:23.940,_20260123_105610_CH04_TMO_5GNR_WFC_MT-REF-2_TC-155.dml,,,,,,,,,,,,,,,,,,,,,,,[Tool] Voice - Call Scheduling Start(Term),,,,,,,,,,,,,,,,,
